varieties,count
Pelaverga,1
Siria,1
Azal Blanco,1
Pomace,1
Black Muscat,1
Malbo Gentile,1
Samso,1
Vespaiolo,1
Malagousia,1
Lambrusco Marani,1
Bastardo,1
Rice,1
Feteasca Regala,1
Rebo,1
Biancame,1
Bouvier,1
Weissburgunder,1
Faberrebe,1
Mavrodaphne,1
Feteasca Neagra,1
Grignolino,1
Vinhao,1
Morillon,1
Sivi Pinot,1
Monica,1
Bovale Sardo,1
Gatarratto,1
Symphony,1
Onion,1
Franconia,1
